year,month,day,irradiation_forecast,temperature_forecast,irradiation,temperature,power
2017,1,17,0,0.5153707,1.018616113,1.34218093,0
2017,1,17,0,0.36537075,1.074837954,1.162442625,0
2017,1,17,0,0.67537075,1.087368371,0.900727355,0
2017,1,17,0,1.0253707,1.037625077,0.64870972,0
2017,1,17,0,1.1153708,1.024578258,0.721164504,0
2017,1,17,0,0.94537073,0.999771479,0.59307912,0
2017,1,17,0,1.9453707,1.019260794,0.229905669,0
2017,1,17,0,1.4853708,0.992570524,0.15622633,0
2017,1,17,0,1.3553708,7.945375475,0.17653159,1.739627964
2017,1,17,0,1.1553707,29.35862793,0.62401406,37.47962442
2017,1,17,25.387072,1.6953707,35.11081061,0.88719272,48.13544822
2017,1,17,90.73634,1.5153707,51.19777506,1.217405855,80.94984447
2017,1,17,109.95696,0.7853707,46.30893559,1.491520264,74.69904186
2017,1,17,135.46402,0.42537075,42.30209157,1.601704577,67.64837898
2017,1,17,105.76947,0.13462925,25.42726138,1.168524231,33.00205252
2017,1,17,100.52131,0.16462925,7.751745415,1.431881279,1.75991997
2017,1,17,87.80809,0.08462925,0.981691567,1.263504758,0
2017,1,17,26.413609,0.16537076,1.056545748,1.098124521,0
2017,1,17,1.2642865,1.0353707,1.000104404,1.007837121,0
2017,1,17,0,1.2353708,1.038299814,0.827211469,0
2017,1,17,0,1.3753707,1.208127833,0.549432366,0
2017,1,17,0,1.3853707,1.055866427,0.182431238,0
2017,1,17,0,1.4053707,0.968073299,0.411895716,0
2017,1,17,0,1.4053707,0.937500063,0.931775237,0
2017,1,18,0,1.8753707,0.97357259,1.718911,0
2017,1,18,0,2.145371,0.966771722,1.886795413,0
2017,1,18,0,2.425371,1.013377631,2.057746701,0
2017,1,18,0,2.4953709,1.006410227,2.283129939,0
2017,1,18,0,2.695371,0.940630996,1.884250598,0
2017,1,18,0,2.705371,1.013127887,2.143156751,0
2017,1,18,0,3.0653708,1.006970434,2.276048145,0
2017,1,18,0,3.4953709,1.000059199,2.486337084,0
2017,1,18,0,3.5753708,5.872049757,2.373419612,1.191287516
2017,1,18,0,3.705371,24.0641456,1.823125788,29.80576074
2017,1,18,38.111782,3.1153708,38.03992429,1.966822778,55.64598283
2017,1,18,102.04685,1.9253707,48.21139185,1.51934572,74.95314747
